Country_Name,Country_Code,Region,Year,Fertility_Rate,GDP_Per_Capita
Afghanistan,AFG,South Asia,1960,7.45,59.79
Afghanistan,AFG,South Asia,1961,7.45,59.89
Afghanistan,AFG,South Asia,1962,7.45,58.51
Afghanistan,AFG,South Asia,1963,7.45,78.8
Afghanistan,AFG,South Asia,1964,7.45,82.23
Afghanistan,AFG,South Asia,1965,7.45,101.32
Afghanistan,AFG,South Asia,1966,7.45,137.95
Afghanistan,AFG,South Asia,1967,7.45,161.38
Afghanistan,AFG,South Asia,1968,7.45,129.56
Afghanistan,AFG,South Asia,1969,7.45,129.86
Afghanistan,AFG,South Asia,1970,7.45,157.26
Afghanistan,AFG,South Asia,1972,7.45,136.18
Afghanistan,AFG,South Asia,1973,7.45,144.17
Afghanistan,AFG,South Asia,1974,7.45,175.03
Afghanistan,AFG,South Asia,1975,7.45,188.09
Afghanistan,AFG,South Asia,1976,7.45,199.16
Afghanistan,AFG,South Asia,1977,7.449,226.2
Afghanistan,AFG,South Asia,1978,7.449,249.57
Afghanistan,AFG,South Asia,1979,7.449,278.39
Afghanistan,AFG,South Asia,1980,7.449,275.65
Afghanistan,AFG,South Asia,1981,7.449,267.66
Afghanistan,AFG,South Asia,2001,7.395,119.9
Afghanistan,AFG,South Asia,2002,7.273,192.15
Afghanistan,AFG,South Asia,2003,7.137,203.65
Afghanistan,AFG,South Asia,2004,6.987,224.91
Afghanistan,AFG,South Asia,2005,6.822,257.18
Afghanistan,AFG,South Asia,2006,6.639,280.25
Afghanistan,AFG,South Asia,2007,6.437,380.4
Afghanistan,AFG,South Asia,2008,6.218,384.13
Afghanistan,AFG,South Asia,2009,5.985,458.96
Afghanistan,AFG,South Asia,2010,5.746,569.94
Afghanistan,AFG,South Asia,2011,5.506,622.38
Afghanistan,AFG,South Asia,2012,5.272,690.84
Afghanistan,AFG,South Asia,2013,5.05,653.35
Afghanistan,AFG,South Asia,2014,4.843,633.95
Afghanistan,AFG,South Asia,2015,4.653,594.32
Albania,ALB,Europe and Central Asia,1984,3.323,662.52
Albania,ALB,Europe and Central Asia,1985,3.269,662.91
Albania,ALB,Europe and Central Asia,1986,3.217,719.16
Albania,ALB,Europe and Central Asia,1987,3.164,699.38
Albania,ALB,Europe and Central Asia,1988,3.108,676.57
Albania,ALB,Europe and Central Asia,1989,3.046,723.41
Albania,ALB,Europe and Central Asia,1990,2.978,639.46
Albania,ALB,Europe and Central Asia,1991,2.905,348.71
Albania,ALB,Europe and Central Asia,1992,2.829,218.49
Albania,ALB,Europe and Central Asia,1993,2.751,380.53
Albania,ALB,Europe and Central Asia,1994,2.672,619.07
Albania,ALB,Europe and Central Asia,1995,2.591,760.56
Albania,ALB,Europe and Central Asia,1996,2.508,"1,046.36"
Albania,ALB,Europe and Central Asia,1997,2.423,749.58
Albania,ALB,Europe and Central Asia,1998,2.337,865.3
Albania,ALB,Europe and Central Asia,1999,2.249,"1,098.43"
Albania,ALB,Europe and Central Asia,2000,2.16,"1,175.79"
Albania,ALB,Europe and Central Asia,2001,2.068,"1,326.97"
Albania,ALB,Europe and Central Asia,2002,1.975,"1,453.64"
Albania,ALB,Europe and Central Asia,2003,1.884,"1,890.68"
Albania,ALB,Europe and Central Asia,2004,1.798,"2,416.59"
Albania,ALB,Europe and Central Asia,2005,1.724,"2,709.14"
Albania,ALB,Europe and Central Asia,2006,1.668,"3,005.01"
Albania,ALB,Europe and Central Asia,2007,1.635,"3,603.01"
